attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket,artist_country
66211.0,reported,Suphachalasai Stadium,stadium,35000.0,Asia,Thailand,Bangkok,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Thailand
32312.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,3,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Hong Kong
26578.0,reported,Boulevard City,concert hall,,Middle East,Saudi Arabia,Riyadh,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Saudi Arabia
22209.0,reported,Etihad Park,amphitheater,40000.0,Middle East,United Arab Emirates,Abu Dhabi,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United Arab Emirates
62642.0,reported,Bukit Jalil Stadium,stadium,90000.0,Asia,Malaysia,Kuala Lumpur,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Malaysia
113740.0,reported,Gelora Bung Karno Main Stadium,stadium,77193.0,Asia,Indonesia,Jakarta,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Indonesia
101096.0,reported,National Stadium,stadium,55000.0,Asia,Taiwan,Kaohsiung,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Taiwan
92720.0,reported,Philippine Arena,arena,55000.0,Asia,Philippines,Bulacan,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Philippines
100809.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Japan
113498.0,reported,Estadio GNP Seguros,stadium,65000.0,North America,Mexico,Mexico City,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Mexico
97977.0,reported,Singapore National Stadium,stadium,55000.0,Asia,Singapore,Singapore,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Singapore
23267.0,reported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Macau
81108.0,reported,Rajamangala Stadium,stadium,51560.0,Asia,Thailand,Bangkok,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Thailand
81996.0,reported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Japan
23145.0,reported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Australia
25926.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Australia
,unreported,,,,Oceania,New Zealand,Auckland,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_New Zealand
52781.0,reported,Stade de France,stadium,81338.0,Europe,France,Paris,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_France
67443.0,reported,Mỹ Đình National Stadium,stadium,50000.0,Asia,Vietnam,Hanoi,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Vietnam
96570.0,reported,MetLife Stadium,stadium,82500.0,North America,United States,East Rutherford,2,BLACKPINK,female,3,4,YG,7,established,BLACKPINK_United States
44171.0,reported,Allegiant Stadium,stadium,65000.0,North America,United States,Las Vegas,1,BLACKPINK,female,3,4,YG,7,established,BLACKPINK_United States
38390.0,reported,Oracle Park,stadium,45000.0,North America,United States,San Francisco,1,BLACKPINK,female,3,4,YG,7,established,BLACKPINK_United States
48824.0,reported,Dodger Stadium,stadium,56000.0,North America,United States,Los Angeles,1,BLACKPINK,female,3,4,YG,7,established,BLACKPINK_United States
35391.0,reported,Gocheok Sky Dome,stadium,16744.0,Asia,South Korea,Seoul,2,BLACKPINK,female,3,4,YG,7,established,BLACKPINK_South Korea
75340.0,parcial,Goyang Stadium,stadium,41311.0,Asia,South Korea,Goyang,2,BLACKPINK,female,3,4,YG,8,established,BLACKPINK_South Korea
89981.0,parcial,SoFi Stadium,stadium,70240.0,North America,United States,Inglewood,2,BLACKPINK,female,3,4,YG,8,established,BLACKPINK_United States
48915.0,parcial,Soldier Field,stadium,62500.0,North America,United States,Chicago,1,BLACKPINK,female,3,4,YG,8,established,BLACKPINK_United States
,unreported,Rogers Stadium,stadium,50000.0,North America,Canada,Toronto,2,BLACKPINK,female,3,4,YG,8,established,BLACKPINK_Canada
